feature_index,feature_name,modality,fold_00_coverage_count,fold_01_coverage_count,fold_02_coverage_count,fold_03_coverage_count,fold_04_coverage_count,fold_05_coverage_count,fold_06_coverage_count,fold_07_coverage_count,fold_08_coverage_count,fold_09_coverage_count,minimum_coverage_count_across_folds,maximum_coverage_count_across_folds,total_coverage_count_across_folds
202,LEFT_ACCUMBENS_AREA_SIZE_UCBERKELEYAV45_10_17_16,PET,5,5,5,5,5,5,5,5,5,5,5,5,50
203,CINGULATE_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
204,CTX_RH_SUPERIORPARIETAL_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
205,CTX_LH_CUNEUS_UCBERKELEYAV45_10_17_16,PET,5,5,5,5,5,5,5,5,5,5,5,5,50
206,CTX_RH_PERICALCARINE_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
207,CTX_RH_PARSTRIANGULARIS_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
208,LEFT_PUTAMEN_UCBERKELEYAV45_10_17_16,PET,5,5,5,5,5,5,5,5,5,5,5,5,50
209,LEFT_CEREBELLUM_WHITE_MATTER_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
210,CTX_LH_SUPERIORFRONTAL_SIZE_UCBERKELEYAV45_10_17_16,PET,5,5,5,5,5,5,5,5,5,5,5,5,50
211,CTX_LH_PARAHIPPOCAMPAL_SIZE_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
212,CTX_RH_SUPRAMARGINAL_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
213,LEFT_PALLIDUM_SIZE_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
214,CTX_LH_CAUDALMIDDLEFRONTAL_SIZE_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
215,CTX_LH_LATERALORBITOFRONTAL_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
216,LEFT_CEREBRAL_WHITE_MATTER_SIZE_UCBERKELEYAV45_10_17_16,PET,5,5,5,5,5,5,5,5,5,5,5,5,50
217,CTX_LH_ENTORHINAL_SIZE_UCBERKELEYAV45_10_17_16,PET,5,5,5,5,5,5,5,5,5,5,5,5,50
218,CTX_RH_LINGUAL_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
219,CTX_RH_TRANSVERSETEMPORAL_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
220,LEFT_HIPPOCAMPUS_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
221,SUMMARYSUVR_COMPOSITE_REFNORM_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
222,LEFT_CEREBRAL_WHITE_MATTER_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
223,CTX_LH_PARACENTRAL_UCBERKELEYAV45_10_17_16,PET,5,5,5,5,5,5,5,5,5,5,5,5,50
224,CTX_RH_LATERALORBITOFRONTAL_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
225,FRONTAL_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
226,CTX_RH_INSULA_UCBERKELEYAV45_10_17_16,PET,5,5,5,5,5,5,5,5,5,5,5,5,50
227,LEFT_VENTRALDC_SIZE_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
228,CTX_RH_INFERIORTEMPORAL_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
229,CTX_RH_SUPERIORFRONTAL_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
230,CTX_LH_LINGUAL_SIZE_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
231,CC_CENTRAL_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
232,RIGHT_VENTRALDC_UCBERKELEYAV45_10_17_16,PET,5,5,5,5,5,5,5,5,5,5,5,5,50
233,LEFT_CEREBELLUM_WHITE_MATTER_SIZE_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
234,CTX_RH_INSULA_SIZE_UCBERKELEYAV45_10_17_16,PET,5,5,5,5,5,5,5,5,5,5,5,5,50
235,CTX_RH_ROSTRALMIDDLEFRONTAL_UCBERKELEYAV45_10_17_16,PET,5,5,5,5,5,5,5,5,5,5,5,5,50
236,CTX_LH_PERICALCARINE_SIZE_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
237,CTX_LH_POSTCENTRAL_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
238,VENTRICLE_4TH_UCBERKELEYAV45_10_17_16,PET,6,6,6,6,6,6,6,6,6,6,6,6,60
239,CTX_RH_PRECUNEUS_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
240,CTX_RH_POSTCENTRAL_SIZE_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
241,PARIETAL_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
242,CSF_SIZE_UCBERKELEYAV45_10_17_16,PET,5,5,5,5,5,5,5,5,5,5,5,5,50
243,LEFT_PALLIDUM_UCBERKELEYAV45_10_17_16,PET,6,6,6,6,6,6,6,6,6,6,6,6,60
244,RIGHT_ACCUMBENS_AREA_UCBERKELEYAV45_10_17_16,PET,5,5,5,5,5,5,5,5,5,5,5,5,50
245,CTX_RH_INFERIORPARIETAL_SIZE_UCBERKELEYAV45_10_17_16,PET,5,5,5,5,5,5,5,5,5,5,5,5,50
246,CTX_LH_SUPERIORTEMPORAL_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
247,CTX_LH_SUPERIORPARIETAL_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
248,CTX_RH_FRONTALPOLE_SIZE_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
249,TEMPORAL_UCBERKELEYAV45_10_17_16,PET,5,5,5,5,5,5,5,5,5,5,5,5,50
250,CTX_RH_FUSIFORM_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
251,CTX_LH_SUPRAMARGINAL_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
252,CTX_RH_FRONTALPOLE_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
253,CTX_RH_MEDIALORBITOFRONTAL_UCBERKELEYAV45_10_17_16,PET,5,5,5,5,5,5,5,5,5,5,5,5,50
254,RIGHT_LATERAL_VENTRICLE_SIZE_UCBERKELEYAV45_10_17_16,PET,5,5,5,5,5,5,5,5,5,5,5,5,50
255,CTX_LH_ENTORHINAL_UCBERKELEYAV45_10_17_16,PET,5,5,5,5,5,5,5,5,5,5,5,5,50
256,CTX_RH_ROSTRALMIDDLEFRONTAL_SIZE_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
257,CTX_LH_INFERIORTEMPORAL_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
258,CTX_LH_TEMPORALPOLE_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
259,LEFT_VESSEL_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
260,CTX_LH_INSULA_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
261,CTX_LH_ROSTRALANTERIORCINGULATE_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
262,LEFT_AMYGDALA_SIZE_UCBERKELEYAV45_10_17_16,PET,5,5,5,5,5,5,5,5,5,5,5,5,50
263,CTX_RH_SUPERIORTEMPORAL_SIZE_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
264,RIGHT_HIPPOCAMPUS_SIZE_UCBERKELEYAV45_10_17_16,PET,5,5,5,5,5,5,5,5,5,5,5,5,50
265,CTX_LH_PARSTRIANGULARIS_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
266,CTX_LH_POSTCENTRAL_SIZE_UCBERKELEYAV45_10_17_16,PET,5,5,5,5,5,5,5,5,5,5,5,5,50
267,LEFT_CHOROID_PLEXUS_UCBERKELEYAV45_10_17_16,PET,5,5,5,5,5,5,5,5,5,5,5,5,50
268,CTX_RH_TEMPORALPOLE_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
269,CTX_RH_LINGUAL_SIZE_UCBERKELEYAV45_10_17_16,PET,5,5,5,5,5,5,5,5,5,5,5,5,50
270,WM_HYPOINTENSITIES_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
271,CTX_LH_PRECENTRAL_UCBERKELEYAV45_10_17_16,PET,5,5,5,5,5,5,5,5,5,5,5,5,50
272,CTX_RH_PRECENTRAL_UCBERKELEYAV45_10_17_16,PET,5,5,5,5,5,5,5,5,5,5,5,5,50
273,CTX_RH_MIDDLETEMPORAL_UCBERKELEYAV45_10_17_16,PET,5,5,5,5,5,5,5,5,5,5,5,5,50
274,LEFT_CEREBELLUM_CORTEX_SIZE_UCBERKELEYAV45_10_17_16,PET,5,5,5,5,5,5,5,5,5,5,5,5,50
275,CTX_LH_CAUDALMIDDLEFRONTAL_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
276,CTX_RH_LATERALOCCIPITAL_SIZE_UCBERKELEYAV45_10_17_16,PET,5,5,5,5,5,5,5,5,5,5,5,5,50
277,CTX_RH_LATERALOCCIPITAL_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
278,CC_MID_POSTERIOR_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
279,RIGHT_CHOROID_PLEXUS_UCBERKELEYAV45_10_17_16,PET,5,5,5,5,5,5,5,5,5,5,5,5,50
280,CC_POSTERIOR_SIZE_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
281,CTX_LH_MIDDLETEMPORAL_UCBERKELEYAV45_10_17_16,PET,5,5,5,5,5,5,5,5,5,5,5,5,50
282,LEFT_THALAMUS_PROPER_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
283,OPTIC_CHIASM_UCBERKELEYAV45_10_17_16,PET,5,5,5,5,5,5,5,5,5,5,5,5,50
284,RIGHT_CHOROID_PLEXUS_SIZE_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
285,CTX_LH_PARSOPERCULARIS_SIZE_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
286,LEFT_VENTRALDC_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
287,RIGHT_LATERAL_VENTRICLE_UCBERKELEYAV45_10_17_16,PET,5,5,5,5,5,5,5,5,5,5,5,5,50
288,TAU_UPENNBIOMK9_04_19_17,CSF,5,5,5,5,5,5,5,5,5,5,5,5,50
289,ABETA_UPENNBIOMK9_04_19_17,CSF,4,4,4,4,4,4,4,4,4,4,4,4,40
290,PTAU_UPENNBIOMK9_04_19_17,CSF,4,4,4,4,4,4,4,4,4,4,4,4,40
291,"AGE_[56.4, 58.4)",Risk,5,5,5,5,5,5,5,5,5,5,5,5,50
292,"AGE_[80.4, 82.4)",Risk,4,4,4,4,4,4,4,4,4,4,4,4,40
293,"AGE_[72.4, 74.4)",Risk,4,4,4,4,4,4,4,4,4,4,4,4,40
294,"AGE_[62.4, 64.4)",Risk,4,4,4,4,4,4,4,4,4,4,4,4,40
295,APOE4_2.0,Risk,5,5,5,5,5,5,5,5,5,5,5,5,50
296,"AGE_[82.4, 84.4)",Risk,4,4,4,4,4,4,4,4,4,4,4,4,40
297,"AGE_[88.4, 90.4)",Risk,5,5,5,5,5,5,5,5,5,5,5,5,50
298,PTMARRY_Never married,Risk,4,4,4,4,4,4,4,4,4,4,4,4,40
299,"PTEDUCAT_[4, 6)",Risk,4,4,4,4,4,4,4,4,4,4,4,4,40
300,"AGE_[84.4, 86.4)",Risk,4,4,4,4,4,4,4,4,4,4,4,4,40
301,"AGE_[58.4, 60.4)",Risk,5,5,5,5,5,5,5,5,5,5,5,5,50
302,"PTEDUCAT_[14, 16)",Risk,5,5,5,5,5,5,5,5,5,5,5,5,50
303,"AGE_[54.4, 56.4)",Risk,6,6,6,6,6,6,6,6,6,6,6,6,60
304,"PTEDUCAT_[8, 10)",Risk,4,4,4,4,4,4,4,4,4,4,4,4,40
305,PTMARRY_Unknown,Risk,6,6,6,6,6,6,6,6,6,6,6,6,60
306,"PTEDUCAT_[16, 18)",Risk,5,5,5,5,5,5,5,5,5,5,5,5,50
307,PTMARRY_Divorced,Risk,5,5,5,5,5,5,5,5,5,5,5,5,50
308,"AGE_[60.4, 62.4)",Risk,4,4,4,4,4,4,4,4,4,4,4,4,40
309,"AGE_[78.4, 80.4)",Risk,5,5,5,5,5,5,5,5,5,5,5,5,50
310,"AGE_[74.4, 76.4)",Risk,4,4,4,4,4,4,4,4,4,4,4,4,40
311,"AGE_[76.4, 78.4)",Risk,4,4,4,4,4,4,4,4,4,4,4,4,40
312,"AGE_[86.4, 88.4)",Risk,5,5,5,5,5,5,5,5,5,5,5,5,50
313,PTGENDER,Risk,4,4,4,4,4,4,4,4,4,4,4,4,40
314,"PTEDUCAT_[18, 20)",Risk,4,4,4,4,4,4,4,4,4,4,4,4,40
315,APOE4_0.0,Risk,4,4,4,4,4,4,4,4,4,4,4,4,40
316,"PTEDUCAT_[10, 12)",Risk,5,5,5,5,5,5,5,5,5,5,5,5,50
317,PTMARRY_Married,Risk,5,5,5,5,5,5,5,5,5,5,5,5,50
318,"AGE_[90.4, 92.4)",Risk,5,5,5,5,5,5,5,5,5,5,5,5,50
319,"AGE_[70.4, 72.4)",Risk,5,5,5,5,5,5,5,5,5,5,5,5,50
320,"AGE_[64.4, 66.4)",Risk,4,4,4,4,4,4,4,4,4,4,4,4,40
321,"AGE_[68.4, 70.4)",Risk,4,4,4,4,4,4,4,4,4,4,4,4,40
322,"AGE_[66.4, 68.4)",Risk,5,5,5,5,5,5,5,5,5,5,5,5,50
323,APOE4_1.0,Risk,5,5,5,5,5,5,5,5,5,5,5,5,50
324,PTMARRY_Widowed,Risk,6,6,6,6,6,6,6,6,6,6,6,6,60
325,"PTEDUCAT_[12, 14)",Risk,4,4,4,4,4,4,4,4,4,4,4,4,40
326,"PTEDUCAT_[6, 8)",Risk,4,4,4,4,4,4,4,4,4,4,4,4,40
327,RAVLT_immediate,Cognitive,4,4,4,4,4,4,4,4,4,4,4,4,40
328,RAVLT_learning,Cognitive,5,5,5,5,5,5,5,5,5,5,5,5,50
329,EcogSPLang,Cognitive,4,4,4,4,4,4,4,4,4,4,4,4,40
330,ADAS13,Cognitive,5,5,5,5,5,5,5,5,5,5,5,5,50
331,EcogPtOrgan,Cognitive,4,4,4,4,4,4,4,4,4,4,4,4,40
332,RAVLT_perc_forgetting,Cognitive,5,5,5,5,5,5,5,5,5,5,5,5,50
333,FAQ,Cognitive,4,4,4,4,4,4,4,4,4,4,4,4,40
334,MOCA,Cognitive,4,4,4,4,4,4,4,4,4,4,4,4,40
335,EcogPtMem,Cognitive,4,4,4,4,4,4,4,4,4,4,4,4,40
336,EcogSPVisspat,Cognitive,4,4,4,4,4,4,4,4,4,4,4,4,40
337,RAVLT_forgetting,Cognitive,4,4,4,4,4,4,4,4,4,4,4,4,40
338,EcogPtLang,Cognitive,5,5,5,5,5,5,5,5,5,5,5,5,50
339,EcogSPDivatt,Cognitive,4,4,4,4,4,4,4,4,4,4,4,4,40
340,EcogPtPlan,Cognitive,4,4,4,4,4,4,4,4,4,4,4,4,40
341,CDRSB,Cognitive,4,4,4,4,4,4,4,4,4,4,4,4,40
342,EcogSPOrgan,Cognitive,4,4,4,4,4,4,4,4,4,4,4,4,40
343,EcogSPPlan,Cognitive,5,5,5,5,5,5,5,5,5,5,5,5,50
344,MMSE,Cognitive,5,5,5,5,5,5,5,5,5,5,5,5,50
345,EcogSPMem,Cognitive,5,5,5,5,5,5,5,5,5,5,5,5,50
346,EcogPtVisspat,Cognitive,4,4,4,4,4,4,4,4,4,4,4,4,40
347,EcogPtDivatt,Cognitive,5,5,5,5,5,5,5,5,5,5,5,5,50
348,EcogPtTotal,Cognitive,4,4,4,4,4,4,4,4,4,4,4,4,40
349,EcogSPTotal,Cognitive,4,4,4,4,4,4,4,4,4,4,4,4,40
350,ADAS11,Cognitive,5,5,5,5,5,5,5,5,5,5,5,5,50
351,MidTemp,ROI,5,5,5,5,5,5,5,5,5,5,5,5,50
352,AV45,ROI,4,4,4,4,4,4,4,4,4,4,4,4,40
353,ICV,ROI,5,5,5,5,5,5,5,5,5,5,5,5,50
354,Fusiform,ROI,4,4,4,4,4,4,4,4,4,4,4,4,40
355,Hippocampus,ROI,5,5,5,5,5,5,5,5,5,5,5,5,50
356,FDG,ROI,5,5,5,5,5,5,5,5,5,5,5,5,50
357,Ventricles,ROI,4,4,4,4,4,4,4,4,4,4,4,4,40
358,WholeBrain,ROI,4,4,4,4,4,4,4,4,4,4,4,4,40
359,Entorhinal,ROI,5,5,5,5,5,5,5,5,5,5,5,5,50
