feature_index,feature_name,modality,member_00,member_01,member_02,member_03,coverage_count
269,CTX_RH_LINGUAL_SIZE_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,2
270,WM_HYPOINTENSITIES_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,2
271,CTX_LH_PRECENTRAL_UCBERKELEYAV45_10_17_16,PET,1,1,0,1,3
272,CTX_RH_PRECENTRAL_UCBERKELEYAV45_10_17_16,PET,0,1,1,1,3
273,CTX_RH_MIDDLETEMPORAL_UCBERKELEYAV45_10_17_16,PET,1,1,0,1,3
274,LEFT_CEREBELLUM_CORTEX_SIZE_UCBERKELEYAV45_10_17_16,PET,0,1,1,0,2
275,CTX_LH_CAUDALMIDDLEFRONTAL_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,2
276,CTX_RH_LATERALOCCIPITAL_SIZE_UCBERKELEYAV45_10_17_16,PET,1,1,0,1,3
277,CTX_RH_LATERALOCCIPITAL_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,2
278,CC_MID_POSTERIOR_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,2
279,RIGHT_CHOROID_PLEXUS_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,2
280,CC_POSTERIOR_SIZE_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,2
281,CTX_LH_MIDDLETEMPORAL_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,2
282,LEFT_THALAMUS_PROPER_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,2
283,OPTIC_CHIASM_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,2
284,RIGHT_CHOROID_PLEXUS_SIZE_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,2
285,CTX_LH_PARSOPERCULARIS_SIZE_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,2
286,LEFT_VENTRALDC_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,2
287,RIGHT_LATERAL_VENTRICLE_UCBERKELEYAV45_10_17_16,PET,1,0,1,1,3
288,TAU_UPENNBIOMK9_04_19_17,CSF,1,0,1,0,2
289,ABETA_UPENNBIOMK9_04_19_17,CSF,0,1,0,1,2
290,PTAU_UPENNBIOMK9_04_19_17,CSF,0,1,0,1,2
291,"AGE_[56.4, 58.4)",Risk,1,0,1,0,2
292,"AGE_[80.4, 82.4)",Risk,0,1,1,0,2
293,"AGE_[72.4, 74.4)",Risk,0,1,0,1,2
294,"AGE_[62.4, 64.4)",Risk,0,1,0,1,2
295,APOE4_2.0,Risk,0,1,1,1,3
296,"AGE_[82.4, 84.4)",Risk,0,1,0,1,2
297,"AGE_[88.4, 90.4)",Risk,1,0,1,1,3
298,PTMARRY_Never married,Risk,0,1,0,1,2
299,"PTEDUCAT_[4, 6)",Risk,0,1,0,1,2
300,"AGE_[84.4, 86.4)",Risk,0,1,0,1,2
301,"AGE_[58.4, 60.4)",Risk,1,0,1,1,3
302,"PTEDUCAT_[14, 16)",Risk,1,0,1,0,2
303,"AGE_[54.4, 56.4)",Risk,0,1,1,1,3
304,"PTEDUCAT_[8, 10)",Risk,1,0,1,0,2
305,PTMARRY_Unknown,Risk,1,1,0,1,3
306,"PTEDUCAT_[16, 18)",Risk,0,1,0,1,2
307,PTMARRY_Divorced,Risk,1,0,1,1,3
308,"AGE_[60.4, 62.4)",Risk,0,1,0,1,2
309,"AGE_[78.4, 80.4)",Risk,1,0,1,1,3
310,"AGE_[74.4, 76.4)",Risk,1,0,1,0,2
311,"AGE_[76.4, 78.4)",Risk,0,1,0,1,2
312,"AGE_[86.4, 88.4)",Risk,0,1,0,1,2
313,PTGENDER,Risk,0,1,0,1,2
314,"PTEDUCAT_[18, 20)",Risk,1,0,1,0,2
315,APOE4_0.0,Risk,0,1,0,1,2
316,"PTEDUCAT_[10, 12)",Risk,1,1,0,1,3
317,PTMARRY_Married,Risk,1,0,1,1,3
318,"AGE_[90.4, 92.4)",Risk,0,1,0,1,2
319,"AGE_[70.4, 72.4)",Risk,1,0,1,0,2
320,"AGE_[64.4, 66.4)",Risk,1,0,1,0,2
321,"AGE_[68.4, 70.4)",Risk,0,1,0,1,2
322,"AGE_[66.4, 68.4)",Risk,1,1,0,1,3
323,APOE4_1.0,Risk,1,1,0,1,3
324,PTMARRY_Widowed,Risk,1,0,1,1,3
325,"PTEDUCAT_[12, 14)",Risk,0,1,0,1,2
326,"PTEDUCAT_[6, 8)",Risk,0,1,0,1,2
327,RAVLT_immediate,Cognitive,0,1,0,1,2
328,RAVLT_learning,Cognitive,1,0,1,1,3
329,EcogSPLang,Cognitive,1,0,1,0,2
330,ADAS13,Cognitive,1,0,1,0,2
331,EcogPtOrgan,Cognitive,0,1,1,0,2
332,RAVLT_perc_forgetting,Cognitive,0,1,1,1,3
333,FAQ,Cognitive,0,1,1,0,2
334,MOCA,Cognitive,1,0,1,0,2
335,EcogPtMem,Cognitive,0,1,0,1,2
336,EcogSPVisspat,Cognitive,0,1,0,1,2
337,RAVLT_forgetting,Cognitive,0,1,0,1,2
338,EcogPtLang,Cognitive,1,1,0,1,3
339,EcogSPDivatt,Cognitive,1,0,1,0,2
340,EcogPtPlan,Cognitive,1,0,1,0,2
341,CDRSB,Cognitive,0,1,0,1,2
342,EcogSPOrgan,Cognitive,0,1,0,1,2
343,EcogSPPlan,Cognitive,0,1,0,1,2
344,MMSE,Cognitive,1,1,0,1,3
345,EcogSPMem,Cognitive,1,0,1,1,3
346,EcogPtVisspat,Cognitive,1,0,1,0,2
347,EcogPtDivatt,Cognitive,1,0,1,1,3
348,EcogPtTotal,Cognitive,1,0,1,0,2
349,EcogSPTotal,Cognitive,1,0,1,0,2
350,ADAS11,Cognitive,1,0,1,0,2
351,MidTemp,ROI,1,1,0,1,3
352,AV45,ROI,0,1,0,1,2
353,ICV,ROI,1,0,1,1,3
354,Fusiform,ROI,0,1,0,1,2
355,Hippocampus,ROI,1,1,0,1,3
356,FDG,ROI,1,0,1,0,2
357,Ventricles,ROI,1,0,1,0,2
358,WholeBrain,ROI,1,0,1,0,2
359,Entorhinal,ROI,1,0,1,1,3
