feature_index,feature_name,modality,fold_00_coverage_count,fold_01_coverage_count,fold_02_coverage_count,fold_03_coverage_count,fold_04_coverage_count,fold_05_coverage_count,fold_06_coverage_count,fold_07_coverage_count,fold_08_coverage_count,fold_09_coverage_count,minimum_coverage_count_across_folds,maximum_coverage_count_across_folds,total_coverage_count_across_folds
202,LEFT_ACCUMBENS_AREA_SIZE_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
203,CINGULATE_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
204,CTX_RH_SUPERIORPARIETAL_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
205,CTX_LH_CUNEUS_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
206,CTX_RH_PERICALCARINE_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
207,CTX_RH_PARSTRIANGULARIS_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
208,LEFT_PUTAMEN_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
209,LEFT_CEREBELLUM_WHITE_MATTER_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
210,CTX_LH_SUPERIORFRONTAL_SIZE_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
211,CTX_LH_PARAHIPPOCAMPAL_SIZE_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
212,CTX_RH_SUPRAMARGINAL_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
213,LEFT_PALLIDUM_SIZE_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
214,CTX_LH_CAUDALMIDDLEFRONTAL_SIZE_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
215,CTX_LH_LATERALORBITOFRONTAL_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
216,LEFT_CEREBRAL_WHITE_MATTER_SIZE_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
217,CTX_LH_ENTORHINAL_SIZE_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
218,CTX_RH_LINGUAL_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
219,CTX_RH_TRANSVERSETEMPORAL_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
220,LEFT_HIPPOCAMPUS_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
221,SUMMARYSUVR_COMPOSITE_REFNORM_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
222,LEFT_CEREBRAL_WHITE_MATTER_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
223,CTX_LH_PARACENTRAL_UCBERKELEYAV45_10_17_16,PET,2,2,2,2,2,2,2,2,2,2,2,2,20
224,CTX_RH_LATERALORBITOFRONTAL_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
225,FRONTAL_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
226,CTX_RH_INSULA_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
227,LEFT_VENTRALDC_SIZE_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
228,CTX_RH_INFERIORTEMPORAL_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
229,CTX_RH_SUPERIORFRONTAL_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
230,CTX_LH_LINGUAL_SIZE_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
231,CC_CENTRAL_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
232,RIGHT_VENTRALDC_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
233,LEFT_CEREBELLUM_WHITE_MATTER_SIZE_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
234,CTX_RH_INSULA_SIZE_UCBERKELEYAV45_10_17_16,PET,2,2,2,2,2,2,2,2,2,2,2,2,20
235,CTX_RH_ROSTRALMIDDLEFRONTAL_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
236,CTX_LH_PERICALCARINE_SIZE_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
237,CTX_LH_POSTCENTRAL_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
238,VENTRICLE_4TH_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
239,CTX_RH_PRECUNEUS_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
240,CTX_RH_POSTCENTRAL_SIZE_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
241,PARIETAL_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
242,CSF_SIZE_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
243,LEFT_PALLIDUM_UCBERKELEYAV45_10_17_16,PET,2,2,2,2,2,2,2,2,2,2,2,2,20
244,RIGHT_ACCUMBENS_AREA_UCBERKELEYAV45_10_17_16,PET,2,2,2,2,2,2,2,2,2,2,2,2,20
245,CTX_RH_INFERIORPARIETAL_SIZE_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
246,CTX_LH_SUPERIORTEMPORAL_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
247,CTX_LH_SUPERIORPARIETAL_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
248,CTX_RH_FRONTALPOLE_SIZE_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
249,TEMPORAL_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
250,CTX_RH_FUSIFORM_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
251,CTX_LH_SUPRAMARGINAL_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
252,CTX_RH_FRONTALPOLE_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
253,CTX_RH_MEDIALORBITOFRONTAL_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
254,RIGHT_LATERAL_VENTRICLE_SIZE_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
255,CTX_LH_ENTORHINAL_UCBERKELEYAV45_10_17_16,PET,2,2,2,2,2,2,2,2,2,2,2,2,20
256,CTX_RH_ROSTRALMIDDLEFRONTAL_SIZE_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
257,CTX_LH_INFERIORTEMPORAL_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
258,CTX_LH_TEMPORALPOLE_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
259,LEFT_VESSEL_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
260,CTX_LH_INSULA_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
261,CTX_LH_ROSTRALANTERIORCINGULATE_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
262,LEFT_AMYGDALA_SIZE_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
263,CTX_RH_SUPERIORTEMPORAL_SIZE_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
264,RIGHT_HIPPOCAMPUS_SIZE_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
265,CTX_LH_PARSTRIANGULARIS_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
266,CTX_LH_POSTCENTRAL_SIZE_UCBERKELEYAV45_10_17_16,PET,2,2,2,2,2,2,2,2,2,2,2,2,20
267,LEFT_CHOROID_PLEXUS_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
268,CTX_RH_TEMPORALPOLE_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
269,CTX_RH_LINGUAL_SIZE_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
270,WM_HYPOINTENSITIES_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
271,CTX_LH_PRECENTRAL_UCBERKELEYAV45_10_17_16,PET,2,2,2,2,2,2,2,2,2,2,2,2,20
272,CTX_RH_PRECENTRAL_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
273,CTX_RH_MIDDLETEMPORAL_UCBERKELEYAV45_10_17_16,PET,2,2,2,2,2,2,2,2,2,2,2,2,20
274,LEFT_CEREBELLUM_CORTEX_SIZE_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
275,CTX_LH_CAUDALMIDDLEFRONTAL_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
276,CTX_RH_LATERALOCCIPITAL_SIZE_UCBERKELEYAV45_10_17_16,PET,2,2,2,2,2,2,2,2,2,2,2,2,20
277,CTX_RH_LATERALOCCIPITAL_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
278,CC_MID_POSTERIOR_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
279,RIGHT_CHOROID_PLEXUS_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
280,CC_POSTERIOR_SIZE_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
281,CTX_LH_MIDDLETEMPORAL_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
282,LEFT_THALAMUS_PROPER_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
283,OPTIC_CHIASM_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
284,RIGHT_CHOROID_PLEXUS_SIZE_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
285,CTX_LH_PARSOPERCULARIS_SIZE_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
286,LEFT_VENTRALDC_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
287,RIGHT_LATERAL_VENTRICLE_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
288,TAU_UPENNBIOMK9_04_19_17,CSF,1,1,1,1,1,1,1,1,1,1,1,1,10
289,ABETA_UPENNBIOMK9_04_19_17,CSF,1,1,1,1,1,1,1,1,1,1,1,1,10
290,PTAU_UPENNBIOMK9_04_19_17,CSF,1,1,1,1,1,1,1,1,1,1,1,1,10
291,"AGE_[56.4, 58.4)",Risk,1,1,1,1,1,1,1,1,1,1,1,1,10
292,"AGE_[80.4, 82.4)",Risk,1,1,1,1,1,1,1,1,1,1,1,1,10
293,"AGE_[72.4, 74.4)",Risk,1,1,1,1,1,1,1,1,1,1,1,1,10
294,"AGE_[62.4, 64.4)",Risk,1,1,1,1,1,1,1,1,1,1,1,1,10
295,APOE4_2.0,Risk,1,1,1,1,1,1,1,1,1,1,1,1,10
296,"AGE_[82.4, 84.4)",Risk,1,1,1,1,1,1,1,1,1,1,1,1,10
297,"AGE_[88.4, 90.4)",Risk,1,1,1,1,1,1,1,1,1,1,1,1,10
298,PTMARRY_Never married,Risk,1,1,1,1,1,1,1,1,1,1,1,1,10
299,"PTEDUCAT_[4, 6)",Risk,1,1,1,1,1,1,1,1,1,1,1,1,10
300,"AGE_[84.4, 86.4)",Risk,1,1,1,1,1,1,1,1,1,1,1,1,10
301,"AGE_[58.4, 60.4)",Risk,1,1,1,1,1,1,1,1,1,1,1,1,10
302,"PTEDUCAT_[14, 16)",Risk,1,1,1,1,1,1,1,1,1,1,1,1,10
303,"AGE_[54.4, 56.4)",Risk,1,1,1,1,1,1,1,1,1,1,1,1,10
304,"PTEDUCAT_[8, 10)",Risk,1,1,1,1,1,1,1,1,1,1,1,1,10
305,PTMARRY_Unknown,Risk,2,2,2,2,2,2,2,2,2,2,2,2,20
306,"PTEDUCAT_[16, 18)",Risk,1,1,1,1,1,1,1,1,1,1,1,1,10
307,PTMARRY_Divorced,Risk,1,1,1,1,1,1,1,1,1,1,1,1,10
308,"AGE_[60.4, 62.4)",Risk,1,1,1,1,1,1,1,1,1,1,1,1,10
309,"AGE_[78.4, 80.4)",Risk,1,1,1,1,1,1,1,1,1,1,1,1,10
310,"AGE_[74.4, 76.4)",Risk,1,1,1,1,1,1,1,1,1,1,1,1,10
311,"AGE_[76.4, 78.4)",Risk,1,1,1,1,1,1,1,1,1,1,1,1,10
312,"AGE_[86.4, 88.4)",Risk,1,1,1,1,1,1,1,1,1,1,1,1,10
313,PTGENDER,Risk,1,1,1,1,1,1,1,1,1,1,1,1,10
314,"PTEDUCAT_[18, 20)",Risk,1,1,1,1,1,1,1,1,1,1,1,1,10
315,APOE4_0.0,Risk,1,1,1,1,1,1,1,1,1,1,1,1,10
316,"PTEDUCAT_[10, 12)",Risk,2,2,2,2,2,2,2,2,2,2,2,2,20
317,PTMARRY_Married,Risk,1,1,1,1,1,1,1,1,1,1,1,1,10
318,"AGE_[90.4, 92.4)",Risk,1,1,1,1,1,1,1,1,1,1,1,1,10
319,"AGE_[70.4, 72.4)",Risk,1,1,1,1,1,1,1,1,1,1,1,1,10
320,"AGE_[64.4, 66.4)",Risk,1,1,1,1,1,1,1,1,1,1,1,1,10
321,"AGE_[68.4, 70.4)",Risk,1,1,1,1,1,1,1,1,1,1,1,1,10
322,"AGE_[66.4, 68.4)",Risk,2,2,2,2,2,2,2,2,2,2,2,2,20
323,APOE4_1.0,Risk,2,2,2,2,2,2,2,2,2,2,2,2,20
324,PTMARRY_Widowed,Risk,1,1,1,1,1,1,1,1,1,1,1,1,10
325,"PTEDUCAT_[12, 14)",Risk,1,1,1,1,1,1,1,1,1,1,1,1,10
326,"PTEDUCAT_[6, 8)",Risk,1,1,1,1,1,1,1,1,1,1,1,1,10
327,RAVLT_immediate,Cognitive,1,1,1,1,1,1,1,1,1,1,1,1,10
328,RAVLT_learning,Cognitive,1,1,1,1,1,1,1,1,1,1,1,1,10
329,EcogSPLang,Cognitive,1,1,1,1,1,1,1,1,1,1,1,1,10
330,ADAS13,Cognitive,1,1,1,1,1,1,1,1,1,1,1,1,10
331,EcogPtOrgan,Cognitive,1,1,1,1,1,1,1,1,1,1,1,1,10
332,RAVLT_perc_forgetting,Cognitive,1,1,1,1,1,1,1,1,1,1,1,1,10
333,FAQ,Cognitive,1,1,1,1,1,1,1,1,1,1,1,1,10
334,MOCA,Cognitive,1,1,1,1,1,1,1,1,1,1,1,1,10
335,EcogPtMem,Cognitive,1,1,1,1,1,1,1,1,1,1,1,1,10
336,EcogSPVisspat,Cognitive,1,1,1,1,1,1,1,1,1,1,1,1,10
337,RAVLT_forgetting,Cognitive,1,1,1,1,1,1,1,1,1,1,1,1,10
338,EcogPtLang,Cognitive,2,2,2,2,2,2,2,2,2,2,2,2,20
339,EcogSPDivatt,Cognitive,1,1,1,1,1,1,1,1,1,1,1,1,10
340,EcogPtPlan,Cognitive,1,1,1,1,1,1,1,1,1,1,1,1,10
341,CDRSB,Cognitive,1,1,1,1,1,1,1,1,1,1,1,1,10
342,EcogSPOrgan,Cognitive,1,1,1,1,1,1,1,1,1,1,1,1,10
343,EcogSPPlan,Cognitive,1,1,1,1,1,1,1,1,1,1,1,1,10
344,MMSE,Cognitive,2,2,2,2,2,2,2,2,2,2,2,2,20
345,EcogSPMem,Cognitive,1,1,1,1,1,1,1,1,1,1,1,1,10
346,EcogPtVisspat,Cognitive,1,1,1,1,1,1,1,1,1,1,1,1,10
347,EcogPtDivatt,Cognitive,1,1,1,1,1,1,1,1,1,1,1,1,10
348,EcogPtTotal,Cognitive,1,1,1,1,1,1,1,1,1,1,1,1,10
349,EcogSPTotal,Cognitive,1,1,1,1,1,1,1,1,1,1,1,1,10
350,ADAS11,Cognitive,1,1,1,1,1,1,1,1,1,1,1,1,10
351,MidTemp,ROI,2,2,2,2,2,2,2,2,2,2,2,2,20
352,AV45,ROI,1,1,1,1,1,1,1,1,1,1,1,1,10
353,ICV,ROI,1,1,1,1,1,1,1,1,1,1,1,1,10
354,Fusiform,ROI,1,1,1,1,1,1,1,1,1,1,1,1,10
355,Hippocampus,ROI,2,2,2,2,2,2,2,2,2,2,2,2,20
356,FDG,ROI,1,1,1,1,1,1,1,1,1,1,1,1,10
357,Ventricles,ROI,1,1,1,1,1,1,1,1,1,1,1,1,10
358,WholeBrain,ROI,1,1,1,1,1,1,1,1,1,1,1,1,10
359,Entorhinal,ROI,1,1,1,1,1,1,1,1,1,1,1,1,10
