feature_index,feature_name,modality,member_00,member_01,member_02,member_03,member_04,member_05,member_06,member_07,coverage_count
233,LEFT_CEREBELLUM_WHITE_MATTER_SIZE_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,1,0,1,0,4
234,CTX_RH_INSULA_SIZE_UCBERKELEYAV45_10_17_16,PET,1,1,0,1,0,1,0,1,5
235,CTX_RH_ROSTRALMIDDLEFRONTAL_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,1,1,1,0,5
236,CTX_LH_PERICALCARINE_SIZE_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,0,1,0,1,4
237,CTX_LH_POSTCENTRAL_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,1,0,1,0,4
238,VENTRICLE_4TH_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,1,1,1,1,6
239,CTX_RH_PRECUNEUS_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,0,1,0,1,4
240,CTX_RH_POSTCENTRAL_SIZE_UCBERKELEYAV45_10_17_16,PET,0,1,1,0,1,0,1,0,4
241,PARIETAL_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,1,0,1,0,4
242,CSF_SIZE_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,0,1,1,1,5
243,LEFT_PALLIDUM_UCBERKELEYAV45_10_17_16,PET,1,1,0,1,1,1,0,1,6
244,RIGHT_ACCUMBENS_AREA_UCBERKELEYAV45_10_17_16,PET,1,1,0,1,0,1,0,1,5
245,CTX_RH_INFERIORPARIETAL_SIZE_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,1,0,1,1,5
246,CTX_LH_SUPERIORTEMPORAL_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,1,0,1,0,4
247,CTX_LH_SUPERIORPARIETAL_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,1,0,1,0,4
248,CTX_RH_FRONTALPOLE_SIZE_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,0,1,0,1,4
249,TEMPORAL_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,0,1,1,1,5
250,CTX_RH_FUSIFORM_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,1,0,1,0,4
251,CTX_LH_SUPRAMARGINAL_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,1,0,1,0,4
252,CTX_RH_FRONTALPOLE_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,0,1,0,1,4
253,CTX_RH_MEDIALORBITOFRONTAL_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,1,1,0,1,5
254,RIGHT_LATERAL_VENTRICLE_SIZE_UCBERKELEYAV45_10_17_16,PET,1,0,1,1,1,0,1,0,5
255,CTX_LH_ENTORHINAL_UCBERKELEYAV45_10_17_16,PET,1,1,0,1,0,1,1,0,5
256,CTX_RH_ROSTRALMIDDLEFRONTAL_SIZE_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,0,1,0,1,4
257,CTX_LH_INFERIORTEMPORAL_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,1,0,1,0,4
258,CTX_LH_TEMPORALPOLE_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,0,1,0,1,4
259,LEFT_VESSEL_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,0,1,0,1,4
260,CTX_LH_INSULA_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,0,1,0,1,4
261,CTX_LH_ROSTRALANTERIORCINGULATE_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,1,0,1,0,4
262,LEFT_AMYGDALA_SIZE_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,1,0,1,1,5
263,CTX_RH_SUPERIORTEMPORAL_SIZE_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,1,0,1,0,4
264,RIGHT_HIPPOCAMPUS_SIZE_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,1,0,1,1,5
265,CTX_LH_PARSTRIANGULARIS_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,1,0,1,0,4
266,CTX_LH_POSTCENTRAL_SIZE_UCBERKELEYAV45_10_17_16,PET,1,1,0,1,0,1,0,1,5
267,LEFT_CHOROID_PLEXUS_UCBERKELEYAV45_10_17_16,PET,1,0,1,1,1,0,1,0,5
268,CTX_RH_TEMPORALPOLE_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,1,0,1,0,4
269,CTX_RH_LINGUAL_SIZE_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,1,1,0,1,5
270,WM_HYPOINTENSITIES_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,0,1,0,1,4
271,CTX_LH_PRECENTRAL_UCBERKELEYAV45_10_17_16,PET,1,1,0,1,0,1,0,1,5
272,CTX_RH_PRECENTRAL_UCBERKELEYAV45_10_17_16,PET,0,1,1,1,0,1,0,1,5
273,CTX_RH_MIDDLETEMPORAL_UCBERKELEYAV45_10_17_16,PET,1,1,0,1,0,1,0,1,5
274,LEFT_CEREBELLUM_CORTEX_SIZE_UCBERKELEYAV45_10_17_16,PET,0,1,1,0,1,0,1,1,5
275,CTX_LH_CAUDALMIDDLEFRONTAL_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,0,1,1,0,4
276,CTX_RH_LATERALOCCIPITAL_SIZE_UCBERKELEYAV45_10_17_16,PET,1,1,0,1,0,1,0,1,5
277,CTX_RH_LATERALOCCIPITAL_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,0,1,0,1,4
278,CC_MID_POSTERIOR_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,1,0,1,0,4
279,RIGHT_CHOROID_PLEXUS_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,1,1,0,1,5
280,CC_POSTERIOR_SIZE_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,0,1,0,1,4
281,CTX_LH_MIDDLETEMPORAL_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,1,1,0,1,5
282,LEFT_THALAMUS_PROPER_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,0,1,0,1,4
283,OPTIC_CHIASM_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,1,1,1,0,5
284,RIGHT_CHOROID_PLEXUS_SIZE_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,0,1,0,1,4
285,CTX_LH_PARSOPERCULARIS_SIZE_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,1,0,1,0,4
286,LEFT_VENTRALDC_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,0,1,0,1,4
287,RIGHT_LATERAL_VENTRICLE_UCBERKELEYAV45_10_17_16,PET,1,0,1,1,0,1,1,0,5
288,TAU_UPENNBIOMK9_04_19_17,CSF,1,0,1,0,1,0,1,1,5
289,ABETA_UPENNBIOMK9_04_19_17,CSF,0,1,0,1,0,1,0,1,4
290,PTAU_UPENNBIOMK9_04_19_17,CSF,0,1,0,1,0,1,0,1,4
291,"AGE_[56.4, 58.4)",Risk,1,0,1,0,1,1,1,0,5
292,"AGE_[80.4, 82.4)",Risk,0,1,1,0,1,0,1,0,4
293,"AGE_[72.4, 74.4)",Risk,0,1,0,1,0,1,0,1,4
294,"AGE_[62.4, 64.4)",Risk,0,1,0,1,0,1,0,1,4
295,APOE4_2.0,Risk,0,1,1,1,0,1,0,1,5
296,"AGE_[82.4, 84.4)",Risk,0,1,0,1,0,1,0,1,4
297,"AGE_[88.4, 90.4)",Risk,1,0,1,1,0,1,0,1,5
298,PTMARRY_Never married,Risk,0,1,0,1,0,1,0,1,4
299,"PTEDUCAT_[4, 6)",Risk,0,1,0,1,0,1,0,1,4
300,"AGE_[84.4, 86.4)",Risk,0,1,0,1,0,1,0,1,4
301,"AGE_[58.4, 60.4)",Risk,1,0,1,1,0,1,1,0,5
302,"PTEDUCAT_[14, 16)",Risk,1,0,1,0,1,0,1,1,5
303,"AGE_[54.4, 56.4)",Risk,0,1,1,1,1,0,1,1,6
304,"PTEDUCAT_[8, 10)",Risk,1,0,1,0,1,0,1,0,4
305,PTMARRY_Unknown,Risk,1,1,0,1,0,1,1,1,6
306,"PTEDUCAT_[16, 18)",Risk,0,1,0,1,1,0,1,1,5
307,PTMARRY_Divorced,Risk,1,0,1,1,0,1,0,1,5
308,"AGE_[60.4, 62.4)",Risk,0,1,0,1,0,1,0,1,4
309,"AGE_[78.4, 80.4)",Risk,1,0,1,1,0,1,0,1,5
310,"AGE_[74.4, 76.4)",Risk,1,0,1,0,1,0,1,0,4
311,"AGE_[76.4, 78.4)",Risk,0,1,0,1,0,1,0,1,4
312,"AGE_[86.4, 88.4)",Risk,0,1,0,1,1,1,1,0,5
313,PTGENDER,Risk,0,1,0,1,1,0,1,0,4
314,"PTEDUCAT_[18, 20)",Risk,1,0,1,0,1,0,1,0,4
315,APOE4_0.0,Risk,0,1,0,1,0,1,1,0,4
316,"PTEDUCAT_[10, 12)",Risk,1,1,0,1,0,1,0,1,5
317,PTMARRY_Married,Risk,1,0,1,1,0,1,0,1,5
318,"AGE_[90.4, 92.4)",Risk,0,1,0,1,0,1,1,1,5
319,"AGE_[70.4, 72.4)",Risk,1,0,1,0,1,1,0,1,5
320,"AGE_[64.4, 66.4)",Risk,1,0,1,0,1,0,1,0,4
321,"AGE_[68.4, 70.4)",Risk,0,1,0,1,0,1,0,1,4
322,"AGE_[66.4, 68.4)",Risk,1,1,0,1,1,0,1,0,5
323,APOE4_1.0,Risk,1,1,0,1,0,1,0,1,5
324,PTMARRY_Widowed,Risk,1,0,1,1,1,1,0,1,6
325,"PTEDUCAT_[12, 14)",Risk,0,1,0,1,0,1,0,1,4
326,"PTEDUCAT_[6, 8)",Risk,0,1,0,1,0,1,1,0,4
327,RAVLT_immediate,Cognitive,0,1,0,1,0,1,0,1,4
328,RAVLT_learning,Cognitive,1,0,1,1,0,1,0,1,5
329,EcogSPLang,Cognitive,1,0,1,0,1,0,1,0,4
330,ADAS13,Cognitive,1,0,1,0,1,1,0,1,5
331,EcogPtOrgan,Cognitive,0,1,1,0,1,0,1,0,4
332,RAVLT_perc_forgetting,Cognitive,0,1,1,1,0,1,1,0,5
333,FAQ,Cognitive,0,1,1,0,1,0,1,0,4
334,MOCA,Cognitive,1,0,1,0,1,0,1,0,4
335,EcogPtMem,Cognitive,0,1,0,1,0,1,0,1,4
336,EcogSPVisspat,Cognitive,0,1,0,1,1,0,1,0,4
337,RAVLT_forgetting,Cognitive,0,1,0,1,0,1,0,1,4
338,EcogPtLang,Cognitive,1,1,0,1,0,1,0,1,5
339,EcogSPDivatt,Cognitive,1,0,1,0,1,0,1,0,4
340,EcogPtPlan,Cognitive,1,0,1,0,1,0,1,0,4
341,CDRSB,Cognitive,0,1,0,1,0,1,0,1,4
342,EcogSPOrgan,Cognitive,0,1,0,1,0,1,0,1,4
343,EcogSPPlan,Cognitive,0,1,0,1,1,1,1,0,5
344,MMSE,Cognitive,1,1,0,1,1,0,1,0,5
345,EcogSPMem,Cognitive,1,0,1,1,0,1,0,1,5
346,EcogPtVisspat,Cognitive,1,0,1,0,1,0,1,0,4
347,EcogPtDivatt,Cognitive,1,0,1,1,0,1,0,1,5
348,EcogPtTotal,Cognitive,1,0,1,0,1,0,1,0,4
349,EcogSPTotal,Cognitive,1,0,1,0,1,0,1,0,4
350,ADAS11,Cognitive,1,0,1,0,1,0,1,1,5
351,MidTemp,ROI,1,1,0,1,0,1,0,1,5
352,AV45,ROI,0,1,0,1,1,0,1,0,4
353,ICV,ROI,1,0,1,1,0,1,0,1,5
354,Fusiform,ROI,0,1,0,1,0,1,0,1,4
355,Hippocampus,ROI,1,1,0,1,0,1,0,1,5
356,FDG,ROI,1,0,1,0,1,0,1,1,5
357,Ventricles,ROI,1,0,1,0,1,0,1,0,4
358,WholeBrain,ROI,1,0,1,0,1,0,1,0,4
359,Entorhinal,ROI,1,0,1,1,0,1,0,1,5
